card,wins
8♦ T♣,16
8♦ T♠,16
8♦ J♥,20
8♦ J♦,24
8♦ J♣,13
8♦ J♠,18
8♦ Q♥,21
8♦ Q♦,17
8♦ Q♣,20
8♦ Q♠,25
8♦ K♥,17
8♦ K♦,24
8♦ K♣,12
8♦ K♠,16
8♦ A♥,31
8♦ A♦,26
8♦ A♣,17
8♦ A♠,24
8♣ 2♥,10
8♣ 2♦,5
8♣ 2♣,12
8♣ 2♠,8
8♣ 3♥,10
8♣ 3♦,6
8♣ 3♣,6
8♣ 3♠,7
8♣ 4♥,6
8♣ 4♦,6
8♣ 4♣,12
8♣ 4♠,9
8♣ 5♥,12
8♣ 5♦,10
8♣ 5♣,19
8♣ 5♠,18
8♣ 6♥,8
8♣ 6♦,16
8♣ 6♣,21
8♣ 6♠,13
8♣ 7♥,15
8♣ 7♦,14
8♣ 7♣,13
8♣ 7♠,9
8♣ 8♥,23
8♣ 8♦,24
8♣ 8♠,19
8♣ 9♥,12
8♣ 9♦,16
8♣ 9♣,19
8♣ 9♠,12
8♣ T♥,19
8♣ T♦,24
8♣ T♣,16
8♣ T♠,23
8♣ J♥,12
8♣ J♦,13
8♣ J♣,20
8♣ J♠,15
8♣ Q♥,22
8♣ Q♦,18
8♣ Q♣,20
8♣ Q♠,17
8♣ K♥,12
8♣ K♦,21
8♣ K♣,12
8♣ K♠,9
8♣ A♥,18
8♣ A♦,16
8♣ A♣,25
8♣ A♠,27
8♠ 2♥,5
8♠ 2♦,8
8♠ 2♣,6
8♠ 2♠,19
8♠ 3♥,10
8♠ 3♦,9
8♠ 3♣,9
8♠ 3♠,10
8♠ 4♥,11
8♠ 4♦,6
8♠ 4♣,10
8♠ 4♠,16
8♠ 5♥,10
8♠ 5♦,14
8♠ 5♣,11
8♠ 5♠,13
8♠ 6♥,9
8♠ 6♦,12
8♠ 6♣,13
8♠ 6♠,14
8♠ 7♥,17
8♠ 7♦,11
8♠ 7♣,15
8♠ 7♠,10
8♠ 8♥,21
8♠ 8♦,14
8♠ 8♣,25
8♠ 9♥,18
8♠ 9♦,22
8♠ 9♣,20
8♠ 9♠,23
8♠ T♥,16
8♠ T♦,14
8♠ T♣,14
8♠ T♠,28
8♠ J♥,16
8♠ J♦,15
8♠ J♣,13
8♠ J♠,22
8♠ Q♥,17
8♠ Q♦,14
8♠ Q♣,24
8♠ Q♠,24
8♠ K♥,14
8♠ K♦,16
8♠ K♣,26
8♠ K♠,24
8♠ A♥,21
8♠ A♦,17
8♠ A♣,22
8♠ A♠,22
9♥ 2♥,13
9♥ 2♦,13
9♥ 2♣,5
9♥ 2♠,8
9♥ 3♥,8
9♥ 3♦,10
9♥ 3♣,4
9♥ 3♠,7
9♥ 4♥,15
9♥ 4♦,9
9♥ 4♣,7
9♥ 4♠,6
9♥ 5♥,16
9♥ 5♦,11
9♥ 5♣,9
9♥ 5♠,14
9♥ 6♥,20
9♥ 6♦,15
9♥ 6♣,12
9♥ 6♠,8
9♥ 7♥,20
9♥ 7♦,14
9♥ 7♣,10
9♥ 7♠,15
9♥ 8♥,13
9♥ 8♦,12
9♥ 8♣,22
9♥ 8♠,12
9♥ 9♦,34
9♥ 9♣,27
9♥ 9♠,22
9♥ T♥,19
9♥ T♦,24
9♥ T♣,19
9♥ T♠,17
9♥ J♥,25
9♥ J♦,21
9♥ J♣,32
9♥ J♠,17
9♥ Q♥,23
9♥ Q♦,21
9♥ Q♣,20
9♥ Q♠,30
9♥ K♥,26
9♥ K♦,24
9♥ K♣,20
9♥ K♠,23
9♥ A♥,22
9♥ A♦,24
9♥ A♣,25
9♥ A♠,19
9♦ 2♥,5
9♦ 2♦,14
9♦ 2♣,8
9♦ 2♠,8
9♦ 3♥,5
9♦ 3♦,15
9♦ 3♣,8
9♦ 3♠,7
9♦ 4♥,14
9♦ 4♦,14
9♦ 4♣,10
9♦ 4♠,10
9♦ 5♥,10
9♦ 5♦,12
9♦ 5♣,9
9♦ 5♠,8
9♦ 6♥,4
9♦ 6♦,22
9♦ 6♣,12
9♦ 6♠,14
9♦ 7♥,12
9♦ 7♦,20
9♦ 7♣,19
9♦ 7♠,17
9♦ 8♥,16
9♦ 8♦,21
9♦ 8♣,14
9♦ 8♠,12
9♦ 9♥,31
9♦ 9♣,29
9♦ 9♠,27
9♦ T♥,21
9♦ T♦,18
9♦ T♣,27
9♦ T♠,26
9♦ J♥,26
9♦ J♦,26
9♦ J♣,24
9♦ J♠,23
9♦ Q♥,19
9♦ Q♦,19
9♦ Q♣,21
9♦ Q♠,23
9♦ K♥,26
9♦ K♦,22
9♦ K♣,26
9♦ K♠,24
9♦ A♥,29
9♦ A♦,29
9♦ A♣,18
9♦ A♠,23
9♣ 2♥,9
9♣ 2♦,8
9♣ 2♣,18
9♣ 2♠,10
9♣ 3♥,8
9♣ 3♦,4
9♣ 3♣,9
9♣ 3♠,7
9♣ 4♥,6
9♣ 4♦,14
9♣ 4♣,9
9♣ 4♠,8
9♣ 5♥,10
9♣ 5♦,10
9♣ 5♣,18
9♣ 5♠,7
9♣ 6♥,10
9♣ 6♦,7
9♣ 6♣,21
9♣ 6♠,14
9♣ 7♥,13
9♣ 7♦,17
9♣ 7♣,19
9♣ 7♠,13
9♣ 8♥,17
9♣ 8♦,13
9♣ 8♣,18
9♣ 8♠,16
9♣ 9♥,30
9♣ 9♦,27
9♣ 9♠,28
9♣ T♥,19
9♣ T♦,19
9♣ T♣,22
9♣ T♠,21
9♣ J♥,25
9♣ J♦,22
9♣ J♣,19
9♣ J♠,16
9♣ Q♥,26
9♣ Q♦,24
9♣ Q♣,31
9♣ Q♠,24
9♣ K♥,26
9♣ K♦,22
9♣ K♣,27
9♣ K♠,24
9♣ A♥,30
9♣ A♦,20
9♣ A♣,27
9♣ A♠,17
9♠ 2♥,14
9♠ 2♦,5
9♠ 2♣,6
9♠ 2♠,10
9♠ 3♥,6
9♠ 3♦,8
9♠ 3♣,9
9♠ 3♠,14
9♠ 4♥,13
9♠ 4♦,11
9♠ 4♣,4
9♠ 4♠,8
9♠ 5♥,11
9♠ 5♦,8
9♠ 5♣,11
9♠ 5♠,18
9♠ 6♥,16
9♠ 6♦,17
9♠ 6♣,12
9♠ 6♠,18
9♠ 7♥,11
9♠ 7♦,15
9♠ 7♣,17
9♠ 7♠,14
9♠ 8♥,12
9♠ 8♦,11
9♠ 8♣,17
9♠ 8♠,19
9♠ 9♥,32
9♠ 9♦,28
9♠ 9♣,31
9♠ T♥,18
9♠ T♦,18
9♠ T♣,16
9♠ T♠,28
9♠ J♥,22
9♠ J♦,22
9♠ J♣,23
9♠ J♠,23
9♠ Q♥,16
9♠ Q♦,23
9♠ Q♣,26
9♠ Q♠,24
9♠ K♥,30
9♠ K♦,22
9♠ K♣,22
9♠ K♠,23
9♠ A♥,25
9♠ A♦,24
9♠ A♣,27
9♠ A♠,24
T♥ 2♥,9
T♥ 2♦,9
T♥ 2♣,10
T♥ 2♠,8
T♥ 3♥,20
T♥ 3♦,8
T♥ 3♣,10
T♥ 3♠,5
T♥ 4♥,17
T♥ 4♦,7
T♥ 4♣,6
T♥ 4♠,7
T♥ 5♥,14
T♥ 5♦,7
T♥ 5♣,11
T♥ 5♠,5
T♥ 6♥,23
T♥ 6♦,15
T♥ 6♣,6
T♥ 6♠,13
T♥ 7♥,18
T♥ 7♦,15
T♥ 7♣,17
T♥ 7♠,15
T♥ 8♥,21
T♥ 8♦,16
T♥ 8♣,16
T♥ 8♠,19
T♥ 9♥,20
T♥ 9♦,16
T♥ 9♣,16
T♥ 9♠,29
T♥ T♦,39
T♥ T♣,35
T♥ T♠,36
T♥ J♥,24
T♥ J♦,27
T♥ J♣,26
T♥ J♠,22
T♥ Q♥,23
T♥ Q♦,27
T♥ Q♣,36
T♥ Q♠,21
T♥ K♥,31
T♥ K♦,29
T♥ K♣,24
T♥ K♠,25
T♥ A♥,39
T♥ A♦,19
T♥ A♣,26
T♥ A♠,22
T♦ 2♥,13
T♦ 2♦,6
T♦ 2♣,5
T♦ 2♠,7
T♦ 3♥,6
T♦ 3♦,8
T♦ 3♣,10
T♦ 3♠,10
T♦ 4♥,10
T♦ 4♦,16
T♦ 4♣,13
T♦ 4♠,10
T♦ 5♥,6
T♦ 5♦,13
T♦ 5♣,14
T♦ 5♠,9
T♦ 6♥,12
T♦ 6♦,20
T♦ 6♣,16
T♦ 6♠,12
T♦ 7♥,16
T♦ 7♦,19
T♦ 7♣,12
T♦ 7♠,21
T♦ 8♥,21
T♦ 8♦,23
T♦ 8♣,14
T♦ 8♠,17
T♦ 9♥,16
T♦ 9♦,22
T♦ 9♣,21
T♦ 9♠,21
T♦ T♥,30
T♦ T♣,32
T♦ T♠,39
T♦ J♥,15
T♦ J♦,30
T♦ J♣,24
T♦ J♠,30
T♦ Q♥,24
T♦ Q♦,34
T♦ Q♣,34
T♦ Q♠,24
T♦ K♥,31
T♦ K♦,38
T♦ K♣,22
T♦ K♠,31
T♦ A♥,27
T♦ A♦,27
T♦ A♣,30
T♦ A♠,30
T♣ 2♥,7
T♣ 2♦,6
T♣ 2♣,19
T♣ 2♠,10
T♣ 3♥,5
T♣ 3♦,9
T♣ 3♣,14
T♣ 3♠,12
T♣ 4♥,5
T♣ 4♦,14
T♣ 4♣,9
T♣ 4♠,11
T♣ 5♥,13
T♣ 5♦,8
T♣ 5♣,18
T♣ 5♠,8
T♣ 6♥,9
T♣ 6♦,9
T♣ 6♣,12
T♣ 6♠,16
T♣ 7♥,17
T♣ 7♦,19
T♣ 7♣,18
T♣ 7♠,14
T♣ 8♥,20
T♣ 8♦,19
T♣ 8♣,21
T♣ 8♠,15
T♣ 9♥,22
T♣ 9♦,23
T♣ 9♣,24
T♣ 9♠,19
T♣ T♥,30
T♣ T♦,37
T♣ T♠,35
T♣ J♥,23
T♣ J♦,24
T♣ J♣,32
T♣ J♠,18
T♣ Q♥,29
T♣ Q♦,24
T♣ Q♣,29
T♣ Q♠,23
T♣ K♥,22
T♣ K♦,33
T♣ K♣,29
T♣ K♠,33
T♣ A♥,23
T♣ A♦,24
T♣ A♣,22
T♣ A♠,35
T♠ 2♥,6
T♠ 2♦,10
T♠ 2♣,6
T♠ 2♠,13
T♠ 3♥,13
T♠ 3♦,7
T♠ 3♣,12
T♠ 3♠,17
T♠ 4♥,8
T♠ 4♦,5
T♠ 4♣,10
T♠ 4♠,11
T♠ 5♥,7
T♠ 5♦,7
T♠ 5♣,11
T♠ 5♠,11
T♠ 6♥,13
T♠ 6♦,8
T♠ 6♣,12
T♠ 6♠,11
T♠ 7♥,10
T♠ 7♦,13
T♠ 7♣,18
T♠ 7♠,16
T♠ 8♥,18
T♠ 8♦,18
T♠ 8♣,24
T♠ 8♠,20
T♠ 9♥,17
T♠ 9♦,27
T♠ 9♣,22
T♠ 9♠,19
T♠ T♥,25
T♠ T♦,30
T♠ T♣,32
T♠ J♥,20
T♠ J♦,19
T♠ J♣,29
T♠ J♠,33
T♠ Q♥,24
T♠ Q♦,20
T♠ Q♣,28
T♠ Q♠,25
T♠ K♥,27
T♠ K♦,23
T♠ K♣,24
T♠ K♠,25
T♠ A♥,26
T♠ A♦,37
T♠ A♣,27
T♠ A♠,22
J♥ 2♥,17
J♥ 2♦,7
J♥ 2♣,7
J♥ 2♠,10
J♥ 3♥,12
J♥ 3♦,12
J♥ 3♣,10
J♥ 3♠,13
J♥ 4♥,11
J♥ 4♦,9
J♥ 4♣,9
J♥ 4♠,11
J♥ 5♥,17
J♥ 5♦,13
J♥ 5♣,8
J♥ 5♠,8
J♥ 6♥,19
J♥ 6♦,13
J♥ 6♣,17
J♥ 6♠,18
J♥ 7♥,24
J♥ 7♦,17
J♥ 7♣,13
J♥ 7♠,14
J♥ 8♥,24
J♥ 8♦,17
J♥ 8♣,21
J♥ 8♠,14
J♥ 9♥,23
J♥ 9♦,14
J♥ 9♣,19
J♥ 9♠,19
J♥ T♥,28
J♥ T♦,21
J♥ T♣,22
J♥ T♠,27
J♥ J♦,39
J♥ J♣,35
J♥ J♠,28
J♥ Q♥,30
J♥ Q♦,28
J♥ Q♣,22
J♥ Q♠,26
J♥ K♥,42
J♥ K♦,30
J♥ K♣,27
J♥ K♠,25
J♥ A♥,37
J♥ A♦,38
J♥ A♣,28
J♥ A♠,28
J♦ 2♥,7
J♦ 2♦,11
J♦ 2♣,8
J♦ 2♠,10
J♦ 3♥,8
J♦ 3♦,9
J♦ 3♣,11
J♦ 3♠,13
J♦ 4♥,10
J♦ 4♦,12
J♦ 4♣,7
J♦ 4♠,11
J♦ 5♥,6
J♦ 5♦,10
J♦ 5♣,13
J♦ 5♠,9
J♦ 6♥,8
J♦ 6♦,13
J♦ 6♣,12
J♦ 6♠,15
J♦ 7♥,12
J♦ 7♦,18
J♦ 7♣,17
J♦ 7♠,16
J♦ 8♥,22
J♦ 8♦,21
J♦ 8♣,19
J♦ 8♠,27
J♦ 9♥,21
J♦ 9♦,20
J♦ 9♣,14
J♦ 9♠,26
J♦ T♥,19
J♦ T♦,30
J♦ T♣,22
J♦ T♠,24
J♦ J♥,31
J♦ J♣,41
J♦ J♠,38
J♦ Q♥,23
J♦ Q♦,32
J♦ Q♣,32
J♦ Q♠,32
J♦ K♥,27
J♦ K♦,26
J♦ K♣,23
J♦ K♠,32
J♦ A♥,28
J♦ A♦,34
J♦ A♣,29
J♦ A♠,26
J♣ 2♥,6
J♣ 2♦,9
J♣ 2♣,16
J♣ 2♠,9
J♣ 3♥,12
J♣ 3♦,5
J♣ 3♣,10
J♣ 3♠,6
J♣ 4♥,9
J♣ 4♦,14
J♣ 4♣,18
J♣ 4♠,10
J♣ 5♥,10
J♣ 5♦,12
J♣ 5♣,17
J♣ 5♠,15
J♣ 6♥,11
J♣ 6♦,12
J♣ 6♣,16
J♣ 6♠,10
J♣ 7♥,21
J♣ 7♦,12
J♣ 7♣,17
J♣ 7♠,21
J♣ 8♥,14
J♣ 8♦,17
J♣ 8♣,23
J♣ 8♠,22
J♣ 9♥,16
J♣ 9♦,26
J♣ 9♣,26
J♣ 9♠,18
J♣ T♥,22
J♣ T♦,27
J♣ T♣,23
J♣ T♠,28
J♣ J♥,37
J♣ J♦,39
J♣ J♠,31
J♣ Q♥,30
J♣ Q♦,23
J♣ Q♣,34
J♣ Q♠,32
J♣ K♥,29
J♣ K♦,29
J♣ K♣,35
J♣ K♠,35
J♣ A♥,29
J♣ A♦,29
J♣ A♣,28
J♣ A♠,27
J♠ 2♥,9
J♠ 2♦,15
J♠ 2♣,4
J♠ 2♠,10
J♠ 3♥,10
J♠ 3♦,17
J♠ 3♣,4
J♠ 3♠,12
J♠ 4♥,7
J♠ 4♦,10
J♠ 4♣,10
J♠ 4♠,12
J♠ 5♥,9
J♠ 5♦,14
J♠ 5♣,11
J♠ 5♠,17
J♠ 6♥,10
J♠ 6♦,26
J♠ 6♣,11
J♠ 6♠,12
J♠ 7♥,14
J♠ 7♦,13
J♠ 7♣,20
J♠ 7♠,20
J♠ 8♥,8
J♠ 8♦,13
J♠ 8♣,13
J♠ 8♠,18
J♠ 9♥,16
J♠ 9♦,21
J♠ 9♣,20
J♠ 9♠,22
J♠ T♥,30
J♠ T♦,21
J♠ T♣,24
J♠ T♠,27
J♠ J♥,35
J♠ J♦,44
J♠ J♣,40
J♠ Q♥,26
J♠ Q♦,24
J♠ Q♣,17
J♠ Q♠,35
J♠ K♥,25
J♠ K♦,22
J♠ K♣,31
J♠ K♠,33
J♠ A♥,35
J♠ A♦,35
J♠ A♣,28
J♠ A♠,32
Q♥ 2♥,7
Q♥ 2♦,4
Q♥ 2♣,8
Q♥ 2♠,11
Q♥ 3♥,12
Q♥ 3♦,9
Q♥ 3♣,9
Q♥ 3♠,10
Q♥ 4♥,16
Q♥ 4♦,13
Q♥ 4♣,6
Q♥ 4♠,10
Q♥ 5♥,16
Q♥ 5♦,12
Q♥ 5♣,17
Q♥ 5♠,11
Q♥ 6♥,21
Q♥ 6♦,13
Q♥ 6♣,17
Q♥ 6♠,13
Q♥ 7♥,19
Q♥ 7♦,18
Q♥ 7♣,14
Q♥ 7♠,16
Q♥ 8♥,27
Q♥ 8♦,19
Q♥ 8♣,20
Q♥ 8♠,20
Q♥ 9♥,29
Q♥ 9♦,21
Q♥ 9♣,20
Q♥ 9♠,19
Q♥ T♥,23
Q♥ T♦,24
Q♥ T♣,24
Q♥ T♠,27
Q♥ J♥,32
Q♥ J♦,25
Q♥ J♣,16
Q♥ J♠,19
Q♥ Q♦,54
Q♥ Q♣,49
Q♥ Q♠,46
Q♥ K♥,31
Q♥ K♦,28
Q♥ K♣,20
Q♥ K♠,21
Q♥ A♥,40
Q♥ A♦,26
Q♥ A♣,29
Q♥ A♠,24
Q♦ 2♥,12
Q♦ 2♦,17
Q♦ 2♣,8
Q♦ 2♠,9
Q♦ 3♥,10
Q♦ 3♦,20
Q♦ 3♣,10
Q♦ 3♠,11
Q♦ 4♥,4
Q♦ 4♦,20
Q♦ 4♣,7
Q♦ 4♠,10
Q♦ 5♥,9
Q♦ 5♦,16
Q♦ 5♣,10
Q♦ 5♠,9
Q♦ 6♥,11
Q♦ 6♦,15
Q♦ 6♣,14
Q♦ 6♠,13
Q♦ 7♥,15
Q♦ 7♦,19
Q♦ 7♣,14
Q♦ 7♠,16
Q♦ 8♥,21
Q♦ 8♦,21
Q♦ 8♣,18
Q♦ 8♠,20
Q♦ 9♥,23
Q♦ 9♦,26
Q♦ 9♣,14
Q♦ 9♠,25
Q♦ T♥,25
Q♦ T♦,23
Q♦ T♣,25
Q♦ T♠,21
Q♦ J♥,18
Q♦ J♦,23
Q♦ J♣,21
Q♦ J♠,16
Q♦ Q♥,38
Q♦ Q♣,51
Q♦ Q♠,42
Q♦ K♥,30
Q♦ K♦,31
Q♦ K♣,29
Q♦ K♠,32
Q♦ A♥,34
Q♦ A♦,27
Q♦ A♣,31
Q♦ A♠,30
Q♣ 2♥,5
Q♣ 2♦,9
Q♣ 2♣,17
Q♣ 2♠,10
Q♣ 3♥,18
Q♣ 3♦,11
Q♣ 3♣,14
Q♣ 3♠,15
Q♣ 4♥,12
Q♣ 4♦,8
Q♣ 4♣,13
Q♣ 4♠,8
Q♣ 5♥,16
Q♣ 5♦,14
Q♣ 5♣,20
Q♣ 5♠,9
Q♣ 6♥,14
Q♣ 6♦,10
Q♣ 6♣,18
Q♣ 6♠,18
Q♣ 7♥,18
Q♣ 7♦,18
Q♣ 7♣,18
Q♣ 7♠,12
Q♣ 8♥,15
Q♣ 8♦,17
Q♣ 8♣,20
Q♣ 8♠,15
Q♣ 9♥,16
Q♣ 9♦,18
Q♣ 9♣,24
Q♣ 9♠,20
Q♣ T♥,31
Q♣ T♦,24
Q♣ T♣,28
Q♣ T♠,25
Q♣ J♥,28
Q♣ J♦,30
Q♣ J♣,34
Q♣ J♠,26
Q♣ Q♥,40
Q♣ Q♦,44
Q♣ Q♠,48
Q♣ K♥,26
Q♣ K♦,26
Q♣ K♣,39
Q♣ K♠,32
Q♣ A♥,24
Q♣ A♦,32
Q♣ A♣,25
Q♣ A♠,32
Q♠ 2♥,14
Q♠ 2♦,11
Q♠ 2♣,12
Q♠ 2♠,12
Q♠ 3♥,10
Q♠ 3♦,11
Q♠ 3♣,15
Q♠ 3♠,11
Q♠ 4♥,17
Q♠ 4♦,9
Q♠ 4♣,11
Q♠ 4♠,10
Q♠ 5♥,10
Q♠ 5♦,17
Q♠ 5♣,15
Q♠ 5♠,12
Q♠ 6♥,12
Q♠ 6♦,16
Q♠ 6♣,20
Q♠ 6♠,21
Q♠ 7♥,25
Q♠ 7♦,15
Q♠ 7♣,13
Q♠ 7♠,13
Q♠ 8♥,17
Q♠ 8♦,15
Q♠ 8♣,16
Q♠ 8♠,23
Q♠ 9♥,23
Q♠ 9♦,19
Q♠ 9♣,21
Q♠ 9♠,29
Q♠ T♥,18
Q♠ T♦,26
Q♠ T♣,21
Q♠ T♠,32
Q♠ J♥,23
Q♠ J♦,28
Q♠ J♣,26
Q♠ J♠,25
Q♠ Q♥,51
Q♠ Q♦,53
Q♠ Q♣,50
Q♠ K♥,29
Q♠ K♦,37
Q♠ K♣,26
Q♠ K♠,26
Q♠ A♥,26
Q♠ A♦,28
Q♠ A♣,32
Q♠ A♠,32
K♥ 2♥,18
K♥ 2♦,9
K♥ 2♣,10
K♥ 2♠,9
K♥ 3♥,16
K♥ 3♦,6
K♥ 3♣,9
K♥ 3♠,12
K♥ 4♥,14
K♥ 4♦,12
K♥ 4♣,11
K♥ 4♠,12
K♥ 5♥,16
K♥ 5♦,10
K♥ 5♣,15
K♥ 5♠,11
K♥ 6♥,23
K♥ 6♦,17
K♥ 6♣,17
K♥ 6♠,16
K♥ 7♥,24
K♥ 7♦,10
K♥ 7♣,18
K♥ 7♠,19
K♥ 8♥,29
K♥ 8♦,24
K♥ 8♣,21
K♥ 8♠,15
K♥ 9♥,24
K♥ 9♦,26
K♥ 9♣,20
K♥ 9♠,22
K♥ T♥,32
K♥ T♦,25
K♥ T♣,28
K♥ T♠,27
K♥ J♥,35
K♥ J♦,22
K♥ J♣,33
K♥ J♠,29
K♥ Q♥,30
K♥ Q♦,28
K♥ Q♣,34
K♥ Q♠,24
K♥ K♦,49
K♥ K♣,53
K♥ K♠,49
K♥ A♥,30
K♥ A♦,32
K♥ A♣,35
K♥ A♠,27
K♦ 2♥,15
K♦ 2♦,14
K♦ 2♣,11
K♦ 2♠,7
K♦ 3♥,17
K♦ 3♦,19
K♦ 3♣,14
K♦ 3♠,15
K♦ 4♥,13
K♦ 4♦,17
K♦ 4♣,8
K♦ 4♠,15
K♦ 5♥,16
K♦ 5♦,17
K♦ 5♣,11
K♦ 5♠,16
K♦ 6♥,16
K♦ 6♦,17
K♦ 6♣,17
K♦ 6♠,12
K♦ 7♥,20
K♦ 7♦,18
K♦ 7♣,16
K♦ 7♠,13
K♦ 8♥,24
K♦ 8♦,28
K♦ 8♣,15
K♦ 8♠,22
K♦ 9♥,26
K♦ 9♦,21
K♦ 9♣,21
K♦ 9♠,20
K♦ T♥,30
K♦ T♦,29
K♦ T♣,23
K♦ T♠,27
K♦ J♥,28
K♦ J♦,29
K♦ J♣,27
K♦ J♠,27
K♦ Q♥,24
K♦ Q♦,35
K♦ Q♣,30
K♦ Q♠,34
K♦ K♥,44
K♦ K♣,49
K♦ K♠,52
K♦ A♥,31
K♦ A♦,33
K♦ A♣,27
K♦ A♠,32
K♣ 2♥,6
K♣ 2♦,7
K♣ 2♣,8
K♣ 2♠,12
K♣ 3♥,18
K♣ 3♦,15
K♣ 3♣,21
K♣ 3♠,12
K♣ 4♥,10
K♣ 4♦,10
K♣ 4♣,24
K♣ 4♠,10
K♣ 5♥,16
K♣ 5♦,11
K♣ 5♣,23
K♣ 5♠,13
K♣ 6♥,24
K♣ 6♦,14
K♣ 6♣,16
K♣ 6♠,18
K♣ 7♥,19
K♣ 7♦,15
K♣ 7♣,20
K♣ 7♠,18
K♣ 8♥,19
K♣ 8♦,15
K♣ 8♣,25
K♣ 8♠,12
K♣ 9♥,19
K♣ 9♦,22
K♣ 9♣,24
K♣ 9♠,25
K♣ T♥,22
K♣ T♦,20
K♣ T♣,38
K♣ T♠,23
K♣ J♥,29
K♣ J♦,29
K♣ J♣,33
K♣ J♠,27
K♣ Q♥,23
K♣ Q♦,23
K♣ Q♣,34
K♣ Q♠,27
K♣ K♥,56
K♣ K♦,55
K♣ K♠,46
K♣ A♥,30
K♣ A♦,41
K♣ A♣,21
K♣ A♠,34
K♠ 2♥,10
K♠ 2♦,8
K♠ 2♣,13
K♠ 2♠,15
K♠ 3♥,11
K♠ 3♦,5
K♠ 3♣,13
K♠ 3♠,19
K♠ 4♥,15
K♠ 4♦,9
K♠ 4♣,14
K♠ 4♠,14
K♠ 5♥,12
K♠ 5♦,15
K♠ 5♣,17
K♠ 5♠,25
K♠ 6♥,16
K♠ 6♦,12
K♠ 6♣,16
K♠ 6♠,24
K♠ 7♥,15
K♠ 7♦,16
K♠ 7♣,19
K♠ 7♠,20
K♠ 8♥,19
K♠ 8♦,23
K♠ 8♣,24
K♠ 8♠,16
K♠ 9♥,19
K♠ 9♦,15
K♠ 9♣,23
K♠ 9♠,26
K♠ T♥,17
K♠ T♦,29
K♠ T♣,30
K♠ T♠,30
K♠ J♥,27
K♠ J♦,35
K♠ J♣,30
K♠ J♠,26
K♠ Q♥,28
K♠ Q♦,23
K♠ Q♣,28
K♠ Q♠,28
K♠ K♥,54
K♠ K♦,48
K♠ K♣,50
K♠ A♥,32
K♠ A♦,37
K♠ A♣,35
K♠ A♠,32
A♥ 2♥,18
A♥ 2♦,8
A♥ 2♣,13
A♥ 2♠,12
A♥ 3♥,14
A♥ 3♦,12
A♥ 3♣,13
A♥ 3♠,11
A♥ 4♥,21
A♥ 4♦,18
A♥ 4♣,21
A♥ 4♠,18
A♥ 5♥,21
A♥ 5♦,22
A♥ 5♣,12
A♥ 5♠,17
A♥ 6♥,21
A♥ 6♦,13
A♥ 6♣,12
A♥ 6♠,15
A♥ 7♥,24
A♥ 7♦,14
A♥ 7♣,16
A♥ 7♠,22
A♥ 8♥,23
A♥ 8♦,16
A♥ 8♣,23
A♥ 8♠,21
A♥ 9♥,33
A♥ 9♦,19
A♥ 9♣,29
A♥ 9♠,22
A♥ T♥,37
A♥ T♦,33
A♥ T♣,32
A♥ T♠,22
A♥ J♥,35
A♥ J♦,31
A♥ J♣,34
A♥ J♠,21
A♥ Q♥,31
A♥ Q♦,21
A♥ Q♣,21
A♥ Q♠,30
A♥ K♥,35
A♥ K♦,25
A♥ K♣,29
A♥ K♠,30
A♥ A♦,44
A♥ A♣,49
A♥ A♠,54
A♦ 2♥,11
A♦ 2♦,21
A♦ 2♣,17
A♦ 2♠,12
A♦ 3♥,12
A♦ 3♦,16
A♦ 3♣,14
A♦ 3♠,7
A♦ 4♥,11
A♦ 4♦,16
A♦ 4♣,12
A♦ 4♠,14
A♦ 5♥,15
A♦ 5♦,11
A♦ 5♣,17
A♦ 5♠,17
A♦ 6♥,23
A♦ 6♦,19
A♦ 6♣,13
A♦ 6♠,22
A♦ 7♥,15
A♦ 7♦,20
A♦ 7♣,14
A♦ 7♠,23
A♦ 8♥,24
A♦ 8♦,18
A♦ 8♣,23
A♦ 8♠,25
A♦ 9♥,13
A♦ 9♦,21
A♦ 9♣,16
A♦ 9♠,22
A♦ T♥,25
A♦ T♦,32
A♦ T♣,25
A♦ T♠,23
A♦ J♥,33
A♦ J♦,24
A♦ J♣,27
A♦ J♠,31
A♦ Q♥,30
A♦ Q♦,29
A♦ Q♣,25
A♦ Q♠,33
A♦ K♥,22
A♦ K♦,29
A♦ K♣,37
A♦ K♠,30
A♦ A♥,46
A♦ A♣,46
A♦ A♠,48
A♣ 2♥,6
A♣ 2♦,9
A♣ 2♣,16
A♣ 2♠,19
A♣ 3♥,11
A♣ 3♦,3
A♣ 3♣,14
A♣ 3♠,12
A♣ 4♥,21
A♣ 4♦,18
A♣ 4♣,14
A♣ 4♠,13
A♣ 5♥,10
A♣ 5♦,16
A♣ 5♣,17
A♣ 5♠,12
A♣ 6♥,13
A♣ 6♦,20
A♣ 6♣,22
A♣ 6♠,20
A♣ 7♥,19
A♣ 7♦,26
A♣ 7♣,30
A♣ 7♠,22
A♣ 8♥,23
A♣ 8♦,13
A♣ 8♣,25
A♣ 8♠,20
A♣ 9♥,21
A♣ 9♦,27
A♣ 9♣,22
A♣ 9♠,22
A♣ T♥,26
A♣ T♦,28
A♣ T♣,34
A♣ T♠,27
A♣ J♥,30
A♣ J♦,28
A♣ J♣,39
A♣ J♠,30
A♣ Q♥,32
A♣ Q♦,26
A♣ Q♣,25
A♣ Q♠,29
A♣ K♥,30
A♣ K♦,30
A♣ K♣,26
